"variable","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_basifolia","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_debilis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_brevipes","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_kunthiana","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_ramosa_var_erythrocalyx","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_serpens","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,1.54235466010695e-05,1.54280083789116e-08,0.00339728894290226,0.000224735532891419,3.99445754521528e-05,1.54279726443151e-06,0.000108908838697827,7.79440086255924e-05,7.85169618973932e-06,0.000191441251549195,1.15363019069591e-05,0.000779112691091835,4.41500712308733e-05,2.26575283382208e-05,0.000205467110983708,0.000875794821339035,2.43982007377755e-05,0.000160453200687033,8.71153560943584e-05,4.3066736369469e-05,0.00391267068452898,0.00152462167378918,0.000548880837349932,0.000296669155671919,0.0225157401434634,0.000365035533956136,0.00224575406897918,4.33324140201865e-05,0.000329969340409962,1.21690571309093e-05,0.000121758498583145,0.000625662839269399,4.62318913979085e-05,6.14305690843461e-05,3.61214977612735e-05,0.00119081449135382,1.55866127990444e-07,0.000621604305436779,0.000268748281357645,2.90529871840647e-05,0.0026719382637751,0.000433722676390756,9.15782560729887e-07,1.82960931762381e-06,0.00031319277048803,8.69074718484585e-19,4.37337043517118e-05
0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,6.99939793564774e-06,2.38294465245159e-10,0.00239453796156433,0.000120930615805125,1.48005897760655e-05,3.88687276269453e-07,0.000118578881583438,2.51873447312894e-05,3.79659870251036e-07,0.000131399822513985,3.80075930182055e-06,0.00037691692482324,6.18015815645241e-06,5.92705632122849e-06,9.16955996435162e-05,0.000370191334845926,8.75314142828177e-06,4.51327233622468e-05,3.0656627183534e-05,1.66720598101881e-05,0.00249346168336598,0.000587362023543523,0.000228891005589855,0.000117561282161671,0.0229870697719451,0.000227001373152815,0.00155498649145747,8.00497656355942e-06,5.03212597657058e-05,4.16443343890241e-06,3.88792512728388e-05,0.000226763943754103,9.07698590674761e-06,2.50434991880191e-05,1.40241072259945e-05,0.000221154587173823,8.9914655978327e-09,6.48849757141622e-05,0.000136669581755886,9.84132739415752e-06,0.00116171615814402,0.000209723332227942,2.13911161031763e-07,2.6375958970939e-07,1.77887084105975e-05,9.11837252487458e-22,1.33238583365898e-05
0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,3.48693301252776e-06,5.34893424166213e-12,0.000745383332764538,6.91543139679571e-05,7.76156354739114e-06,9.47528363266121e-08,3.9637864624994e-05,8.62280286235543e-06,1.21528270257737e-08,0.000133080330796922,5.75099964467277e-07,0.000215612549443458,1.09931941891671e-05,2.07447859528432e-06,2.26305658305253e-05,0.000160336203483694,3.02574130355973e-06,1.23458726172913e-05,1.10888480763958e-05,6.91741145246496e-06,0.00176004576489429,0.000521945822904476,9.4183315834693e-05,4.91711063346801e-05,0.0196225117334127,0.000225505145357819,0.000963531178630349,1.27714658662969e-06,7.55580886778412e-05,1.39488582460654e-06,1.32018619651041e-05,0.000399959608580582,6.58393550568776e-06,1.07978648069189e-05,5.22512522398852e-06,0.000447096893833142,2.739158560714e-09,7.62250678947333e-05,7.11628021903576e-05,3.5652041256808e-06,0.000972916685196348,0.000119462236843155,6.13420821187615e-08,1.00656679623943e-07,4.26986748726935e-06,3.18381213869889e-23,2.52524593937611e-06
0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
